env,model,variant,budget,window,h,channel,value,evalset
MountainCar-v0,truth,-,0,0,15,0,-0.58803,32w@8142h50
MountainCar-v0,truth,-,0,0,15,1,0.00464,32w@8142h50
MountainCar-v0,truth,-,0,0,16,0,-0.58291,32w@8142h50
MountainCar-v0,truth,-,0,0,16,1,0.00512,32w@8142h50
MountainCar-v0,truth,-,0,0,17,0,-0.57734,32w@8142h50
MountainCar-v0,truth,-,0,0,17,1,0.00556,32w@8142h50
MountainCar-v0,truth,-,0,0,18,0,-0.57238,32w@8142h50
MountainCar-v0,truth,-,0,0,18,1,0.00497,32w@8142h50
MountainCar-v0,truth,-,0,0,19,0,-0.56805,32w@8142h50
MountainCar-v0,truth,-,0,0,19,1,0.00433,32w@8142h50
MountainCar-v0,truth,-,0,0,20,0,-0.56239,32w@8142h50
MountainCar-v0,truth,-,0,0,20,1,0.00566,32w@8142h50
MountainCar-v0,truth,-,0,0,21,0,-0.55543,32w@8142h50
MountainCar-v0,truth,-,0,0,21,1,0.00695,32w@8142h50
MountainCar-v0,truth,-,0,0,22,0,-0.54924,32w@8142h50
MountainCar-v0,truth,-,0,0,22,1,0.00619,32w@8142h50
MountainCar-v0,truth,-,0,0,23,0,-0.54286,32w@8142h50
MountainCar-v0,truth,-,0,0,23,1,0.00638,32w@8142h50
MountainCar-v0,truth,-,0,0,24,0,-0.53533,32w@8142h50
MountainCar-v0,truth,-,0,0,24,1,0.00753,32w@8142h50
MountainCar-v0,truth,-,0,0,25,0,-0.52672,32w@8142h50
MountainCar-v0,truth,-,0,0,25,1,0.00862,32w@8142h50
MountainCar-v0,truth,-,0,0,26,0,-0.51808,32w@8142h50
MountainCar-v0,truth,-,0,0,26,1,0.00864,32w@8142h50
MountainCar-v0,truth,-,0,0,27,0,-0.51048,32w@8142h50
MountainCar-v0,truth,-,0,0,27,1,0.0076,32w@8142h50
MountainCar-v0,truth,-,0,0,28,0,-0.50198,32w@8142h50
MountainCar-v0,truth,-,0,0,28,1,0.0085,32w@8142h50
MountainCar-v0,truth,-,0,0,29,0,-0.49364,32w@8142h50
MountainCar-v0,truth,-,0,0,29,1,0.00834,32w@8142h50
MountainCar-v0,truth,-,0,0,30,0,-0.48553,32w@8142h50
MountainCar-v0,truth,-,0,0,30,1,0.00811,32w@8142h50
MountainCar-v0,truth,-,0,0,31,0,-0.4787,32w@8142h50
MountainCar-v0,truth,-,0,0,31,1,0.00683,32w@8142h50
MountainCar-v0,truth,-,0,0,32,0,-0.47121,32w@8142h50
MountainCar-v0,truth,-,0,0,32,1,0.00749,32w@8142h50
MountainCar-v0,truth,-,0,0,33,0,-0.46311,32w@8142h50
MountainCar-v0,truth,-,0,0,33,1,0.0081,32w@8142h50
MountainCar-v0,truth,-,0,0,34,0,-0.45446,32w@8142h50
MountainCar-v0,truth,-,0,0,34,1,0.00865,32w@8142h50
MountainCar-v0,truth,-,0,0,35,0,-0.44632,32w@8142h50
MountainCar-v0,truth,-,0,0,35,1,0.00813,32w@8142h50
MountainCar-v0,truth,-,0,0,36,0,-0.43876,32w@8142h50
MountainCar-v0,truth,-,0,0,36,1,0.00756,32w@8142h50
MountainCar-v0,truth,-,0,0,37,0,-0.43083,32w@8142h50
MountainCar-v0,truth,-,0,0,37,1,0.00793,32w@8142h50
MountainCar-v0,truth,-,0,0,38,0,-0.42459,32w@8142h50
MountainCar-v0,truth,-,0,0,38,1,0.00624,32w@8142h50
MountainCar-v0,truth,-,0,0,39,0,-0.42008,32w@8142h50
MountainCar-v0,truth,-,0,0,39,1,0.00451,32w@8142h50
MountainCar-v0,truth,-,0,0,40,0,-0.41533,32w@8142h50
MountainCar-v0,truth,-,0,0,40,1,0.00475,32w@8142h50
MountainCar-v0,truth,-,0,0,41,0,-0.41238,32w@8142h50
MountainCar-v0,truth,-,0,0,41,1,0.00295,32w@8142h50
MountainCar-v0,truth,-,0,0,42,0,-0.40924,32w@8142h50
MountainCar-v0,truth,-,0,0,42,1,0.00313,32w@8142h50
MountainCar-v0,truth,-,0,0,43,0,-0.40695,32w@8142h50
MountainCar-v0,truth,-,0,0,43,1,0.00229,32w@8142h50
MountainCar-v0,truth,-,0,0,44,0,-0.40552,32w@8142h50
MountainCar-v0,truth,-,0,0,44,1,0.00143,32w@8142h50
MountainCar-v0,truth,-,0,0,45,0,-0.40595,32w@8142h50
MountainCar-v0,truth,-,0,0,45,1,-0.00043,32w@8142h50
MountainCar-v0,truth,-,0,0,46,0,-0.40725,32w@8142h50
MountainCar-v0,truth,-,0,0,46,1,-0.0013,32w@8142h50
MountainCar-v0,truth,-,0,0,47,0,-0.4104,32w@8142h50
MountainCar-v0,truth,-,0,0,47,1,-0.00315,32w@8142h50
MountainCar-v0,truth,-,0,0,48,0,-0.41339,32w@8142h50
MountainCar-v0,truth,-,0,0,48,1,-0.00299,32w@8142h50
MountainCar-v0,truth,-,0,0,49,0,-0.41818,32w@8142h50
MountainCar-v0,truth,-,0,0,49,1,-0.0048,32w@8142h50
MountainCar-v0,truth,-,0,0,50,0,-0.42276,32w@8142h50
MountainCar-v0,truth,-,0,0,50,1,-0.00457,32w@8142h50
MountainCar-v0,truth,-,0,1,1,0,-0.60385,32w@8142h50
MountainCar-v0,truth,-,0,1,1,1,0.04329,32w@8142h50
MountainCar-v0,truth,-,0,1,2,0,-0.55897,32w@8142h50
MountainCar-v0,truth,-,0,1,2,1,0.04488,32w@8142h50
MountainCar-v0,truth,-,0,1,3,0,-0.51482,32w@8142h50
MountainCar-v0,truth,-,0,1,3,1,0.04415,32w@8142h50
MountainCar-v0,truth,-,0,1,4,0,-0.46974,32w@8142h50
MountainCar-v0,truth,-,0,1,4,1,0.04508,32w@8142h50
MountainCar-v0,truth,-,0,1,5,0,-0.42506,32w@8142h50
MountainCar-v0,truth,-,0,1,5,1,0.04468,32w@8142h50
MountainCar-v0,truth,-,0,1,6,0,-0.38211,32w@8142h50
MountainCar-v0,truth,-,0,1,6,1,0.04295,32w@8142h50
MountainCar-v0,truth,-,0,1,7,0,-0.34018,32w@8142h50
MountainCar-v0,truth,-,0,1,7,1,0.04192,32w@8142h50
MountainCar-v0,truth,-,0,1,8,0,-0.30057,32w@8142h50
MountainCar-v0,truth,-,0,1,8,1,0.03961,32w@8142h50
MountainCar-v0,truth,-,0,1,9,0,-0.2635,32w@8142h50
MountainCar-v0,truth,-,0,1,9,1,0.03706,32w@8142h50
MountainCar-v0,truth,-,0,1,10,0,-0.2292,32w@8142h50
MountainCar-v0,truth,-,0,1,10,1,0.03431,32w@8142h50
MountainCar-v0,truth,-,0,1,11,0,-0.19783,32w@8142h50
MountainCar-v0,truth,-,0,1,11,1,0.03137,32w@8142h50
MountainCar-v0,truth,-,0,1,12,0,-0.16952,32w@8142h50
MountainCar-v0,truth,-,0,1,12,1,0.0283,32w@8142h50
MountainCar-v0,truth,-,0,1,13,0,-0.14241,32w@8142h50
MountainCar-v0,truth,-,0,1,13,1,0.02712,32w@8142h50
MountainCar-v0,truth,-,0,1,14,0,-0.11757,32w@8142h50
MountainCar-v0,truth,-,0,1,14,1,0.02484,32w@8142h50
MountainCar-v0,truth,-,0,1,15,0,-0.09407,32w@8142h50
MountainCar-v0,truth,-,0,1,15,1,0.0235,32w@8142h50
MountainCar-v0,truth,-,0,1,16,0,-0.07197,32w@8142h50
MountainCar-v0,truth,-,0,1,16,1,0.02209,32w@8142h50
MountainCar-v0,truth,-,0,1,17,0,-0.05132,32w@8142h50
MountainCar-v0,truth,-,0,1,17,1,0.02065,32w@8142h50
MountainCar-v0,truth,-,0,1,18,0,-0.03314,32w@8142h50
MountainCar-v0,truth,-,0,1,18,1,0.01818,32w@8142h50
MountainCar-v0,truth,-,0,1,19,0,-0.01645,32w@8142h50
MountainCar-v0,truth,-,0,1,19,1,0.01669,32w@8142h50
MountainCar-v0,truth,-,0,1,20,0,-0.00325,32w@8142h50
MountainCar-v0,truth,-,0,1,20,1,0.0132,32w@8142h50
MountainCar-v0,truth,-,0,1,21,0,0.00845,32w@8142h50
MountainCar-v0,truth,-,0,1,21,1,0.0117,32w@8142h50
MountainCar-v0,truth,-,0,1,22,0,0.01865,32w@8142h50
MountainCar-v0,truth,-,0,1,22,1,0.0102,32w@8142h50
MountainCar-v0,truth,-,0,1,23,0,0.02535,32w@8142h50
MountainCar-v0,truth,-,0,1,23,1,0.0067,32w@8142h50
MountainCar-v0,truth,-,0,1,24,0,0.02956,32w@8142h50
MountainCar-v0,truth,-,0,1,24,1,0.00421,32w@8142h50
MountainCar-v0,truth,-,0,1,25,0,0.03128,32w@8142h50
MountainCar-v0,truth,-,0,1,25,1,0.00172,32w@8142h50
MountainCar-v0,truth,-,0,1,26,0,0.02951,32w@8142h50
MountainCar-v0,truth,-,0,1,26,1,-0.00177,32w@8142h50
MountainCar-v0,truth,-,0,1,27,0,0.02425,32w@8142h50
MountainCar-v0,truth,-,0,1,27,1,-0.00526,32w@8142h50
MountainCar-v0,truth,-,0,1,28,0,0.0175,32w@8142h50
MountainCar-v0,truth,-,0,1,28,1,-0.00675,32w@8142h50
MountainCar-v0,truth,-,0,1,29,0,0.00725,32w@8142h50
MountainCar-v0,truth,-,0,1,29,1,-0.01025,32w@8142h50
MountainCar-v0,truth,-,0,1,30,0,-0.0055,32w@8142h50
MountainCar-v0,truth,-,0,1,30,1,-0.01275,32w@8142h50
MountainCar-v0,truth,-,0,1,31,0,-0.01975,32w@8142h50
MountainCar-v0,truth,-,0,1,31,1,-0.01425,32w@8142h50
MountainCar-v0,truth,-,0,1,32,0,-0.03649,32w@8142h50
MountainCar-v0,truth,-,0,1,32,1,-0.01674,32w@8142h50
MountainCar-v0,truth,-,0,1,33,0,-0.05472,32w@8142h50
MountainCar-v0,truth,-,0,1,33,1,-0.01823,32w@8142h50
MountainCar-v0,truth,-,0,1,34,0,-0.07542,32w@8142h50
MountainCar-v0,truth,-,0,1,34,1,-0.0207,32w@8142h50
MountainCar-v0,truth,-,0,1,35,0,-0.09855,32w@8142h50
MountainCar-v0,truth,-,0,1,35,1,-0.02313,32w@8142h50
MountainCar-v0,truth,-,0,1,36,0,-0.12507,32w@8142h50
MountainCar-v0,truth,-,0,1,36,1,-0.02652,32w@8142h50
MountainCar-v0,truth,-,0,1,37,0,-0.15392,32w@8142h50
MountainCar-v0,truth,-,0,1,37,1,-0.02885,32w@8142h50
MountainCar-v0,truth,-,0,1,38,0,-0.18401,32w@8142h50
MountainCar-v0,truth,-,0,1,38,1,-0.03009,32w@8142h50
MountainCar-v0,truth,-,0,1,39,0,-0.21523,32w@8142h50
MountainCar-v0,truth,-,0,1,39,1,-0.03122,32w@8142h50
MountainCar-v0,truth,-,0,1,40,0,-0.24744,32w@8142h50
MountainCar-v0,truth,-,0,1,40,1,-0.03221,32w@8142h50
MountainCar-v0,truth,-,0,1,41,0,-0.28149,32w@8142h50
MountainCar-v0,truth,-,0,1,41,1,-0.03406,32w@8142h50
MountainCar-v0,truth,-,0,1,42,0,-0.31821,32w@8142h50
MountainCar-v0,truth,-,0,1,42,1,-0.03672,32w@8142h50
MountainCar-v0,truth,-,0,1,43,0,-0.35637,32w@8142h50
MountainCar-v0,truth,-,0,1,43,1,-0.03816,32w@8142h50
MountainCar-v0,truth,-,0,1,44,0,-0.39573,32w@8142h50
MountainCar-v0,truth,-,0,1,44,1,-0.03936,32w@8142h50
MountainCar-v0,truth,-,0,1,45,0,-0.43703,32w@8142h50
MountainCar-v0,truth,-,0,1,45,1,-0.0413,32w@8142h50
MountainCar-v0,truth,-,0,1,46,0,-0.47797,32w@8142h50
MountainCar-v0,truth,-,0,1,46,1,-0.04094,32w@8142h50
MountainCar-v0,truth,-,0,1,47,0,-0.51925,32w@8142h50
MountainCar-v0,truth,-,0,1,47,1,-0.04128,32w@8142h50
MountainCar-v0,truth,-,0,1,48,0,-0.55957,32w@8142h50
MountainCar-v0,truth,-,0,1,48,1,-0.04031,32w@8142h50
MountainCar-v0,truth,-,0,1,49,0,-0.59861,32w@8142h50
MountainCar-v0,truth,-,0,1,49,1,-0.03904,32w@8142h50
MountainCar-v0,truth,-,0,1,50,0,-0.6361,32w@8142h50
MountainCar-v0,truth,-,0,1,50,1,-0.03749,32w@8142h50
MountainCar-v0,truth,-,0,2,1,0,-0.96133,32w@8142h50
MountainCar-v0,truth,-,0,2,1,1,-0.01975,32w@8142h50
MountainCar-v0,truth,-,0,2,2,0,-0.97966,32w@8142h50
MountainCar-v0,truth,-,0,2,2,1,-0.01833,32w@8142h50
MountainCar-v0,truth,-,0,2,3,0,-0.99454,32w@8142h50
MountainCar-v0,truth,-,0,2,3,1,-0.01488,32w@8142h50
MountainCar-v0,truth,-,0,2,4,0,-1.00695,32w@8142h50
MountainCar-v0,truth,-,0,2,4,1,-0.01241,32w@8142h50
MountainCar-v0,truth,-,0,2,5,0,-1.01788,32w@8142h50
MountainCar-v0,truth,-,0,2,5,1,-0.01093,32w@8142h50
MountainCar-v0,truth,-,0,2,6,0,-1.02732,32w@8142h50
MountainCar-v0,truth,-,0,2,6,1,-0.00944,32w@8142h50
MountainCar-v0,truth,-,0,2,7,0,-1.03526,32w@8142h50
MountainCar-v0,truth,-,0,2,7,1,-0.00794,32w@8142h50
MountainCar-v0,truth,-,0,2,8,0,-1.04171,32w@8142h50
MountainCar-v0,truth,-,0,2,8,1,-0.00645,32w@8142h50
MountainCar-v0,truth,-,0,2,9,0,-1.04465,32w@8142h50
MountainCar-v0,truth,-,0,2,9,1,-0.00295,32w@8142h50
MountainCar-v0,truth,-,0,2,10,0,-1.0451,32w@8142h50
MountainCar-v0,truth,-,0,2,10,1,-0.00045,32w@8142h50
MountainCar-v0,truth,-,0,2,11,0,-1.04405,32w@8142h50
MountainCar-v0,truth,-,0,2,11,1,0.00105,32w@8142h50
MountainCar-v0,truth,-,0,2,12,0,-1.04049,32w@8142h50
MountainCar-v0,truth,-,0,2,12,1,0.00355,32w@8142h50
MountainCar-v0,truth,-,0,2,13,0,-1.03344,32w@8142h50
MountainCar-v0,truth,-,0,2,13,1,0.00705,32w@8142h50
MountainCar-v0,truth,-,0,2,14,0,-1.02289,32w@8142h50
MountainCar-v0,truth,-,0,2,14,1,0.01055,32w@8142h50
MountainCar-v0,truth,-,0,2,15,0,-1.00984,32w@8142h50
MountainCar-v0,truth,-,0,2,15,1,0.01304,32w@8142h50
MountainCar-v0,truth,-,0,2,16,0,-0.99431,32w@8142h50
MountainCar-v0,truth,-,0,2,16,1,0.01553,32w@8142h50
MountainCar-v0,truth,-,0,2,17,0,-0.97732,32w@8142h50
MountainCar-v0,truth,-,0,2,17,1,0.017,32w@8142h50
MountainCar-v0,truth,-,0,2,18,0,-0.95787,32w@8142h50
MountainCar-v0,truth,-,0,2,18,1,0.01944,32w@8142h50
MountainCar-v0,truth,-,0,2,19,0,-0.93502,32w@8142h50
MountainCar-v0,truth,-,0,2,19,1,0.02285,32w@8142h50
MountainCar-v0,truth,-,0,2,20,0,-0.90881,32w@8142h50
MountainCar-v0,truth,-,0,2,20,1,0.02621,32w@8142h50
MountainCar-v0,truth,-,0,2,21,0,-0.88131,32w@8142h50
MountainCar-v0,truth,-,0,2,21,1,0.0275,32w@8142h50
MountainCar-v0,truth,-,0,2,22,0,-0.85261,32w@8142h50
MountainCar-v0,truth,-,0,2,22,1,0.0287,32w@8142h50
MountainCar-v0,truth,-,0,2,23,0,-0.82082,32w@8142h50
MountainCar-v0,truth,-,0,2,23,1,0.03178,32w@8142h50
MountainCar-v0,truth,-,0,2,24,0,-0.78609,32w@8142h50
MountainCar-v0,truth,-,0,2,24,1,0.03473,32w@8142h50
MountainCar-v0,truth,-,0,2,25,0,-0.74859,32w@8142h50
MountainCar-v0,truth,-,0,2,25,1,0.0375,32w@8142h50
MountainCar-v0,truth,-,0,2,26,0,-0.70853,32w@8142h50
MountainCar-v0,truth,-,0,2,26,1,0.04006,32w@8142h50
MountainCar-v0,truth,-,0,2,27,0,-0.66615,32w@8142h50
MountainCar-v0,truth,-,0,2,27,1,0.04238,32w@8142h50
MountainCar-v0,truth,-,0,2,28,0,-0.62274,32w@8142h50
MountainCar-v0,truth,-,0,2,28,1,0.04342,32w@8142h50
MountainCar-v0,truth,-,0,2,29,0,-0.57959,32w@8142h50
MountainCar-v0,truth,-,0,2,29,1,0.04315,32w@8142h50
MountainCar-v0,truth,-,0,2,30,0,-0.53702,32w@8142h50
MountainCar-v0,truth,-,0,2,30,1,0.04257,32w@8142h50
MountainCar-v0,truth,-,0,2,31,0,-0.49535,32w@8142h50
MountainCar-v0,truth,-,0,2,31,1,0.04167,32w@8142h50
MountainCar-v0,truth,-,0,2,32,0,-0.4529,32w@8142h50
MountainCar-v0,truth,-,0,2,32,1,0.04246,32w@8142h50
MountainCar-v0,truth,-,0,2,33,0,-0.41097,32w@8142h50
MountainCar-v0,truth,-,0,2,33,1,0.04193,32w@8142h50
MountainCar-v0,truth,-,0,2,34,0,-0.37086,32w@8142h50
MountainCar-v0,truth,-,0,2,34,1,0.0401,32w@8142h50
MountainCar-v0,truth,-,0,2,35,0,-0.33087,32w@8142h50
MountainCar-v0,truth,-,0,2,35,1,0.04,32w@8142h50
MountainCar-v0,truth,-,0,2,36,0,-0.29124,32w@8142h50
MountainCar-v0,truth,-,0,2,36,1,0.03963,32w@8142h50
MountainCar-v0,truth,-,0,2,37,0,-0.25222,32w@8142h50
MountainCar-v0,truth,-,0,2,37,1,0.03902,32w@8142h50
MountainCar-v0,truth,-,0,2,38,0,-0.21601,32w@8142h50
MountainCar-v0,truth,-,0,2,38,1,0.03621,32w@8142h50
MountainCar-v0,truth,-,0,2,39,0,-0.1808,32w@8142h50
MountainCar-v0,truth,-,0,2,39,1,0.03521,32w@8142h50
MountainCar-v0,truth,-,0,2,40,0,-0.14873,32w@8142h50
MountainCar-v0,truth,-,0,2,40,1,0.03207,32w@8142h50
MountainCar-v0,truth,-,0,2,41,0,-0.11991,32w@8142h50
MountainCar-v0,truth,-,0,2,41,1,0.02882,32w@8142h50
MountainCar-v0,truth,-,0,2,42,0,-0.09443,32w@8142h50
MountainCar-v0,truth,-,0,2,42,1,0.02548,32w@8142h50
MountainCar-v0,truth,-,0,2,43,0,-0.07136,32w@8142h50
MountainCar-v0,truth,-,0,2,43,1,0.02308,32w@8142h50
MountainCar-v0,truth,-,0,2,44,0,-0.05072,32w@8142h50
MountainCar-v0,truth,-,0,2,44,1,0.02063,32w@8142h50
MountainCar-v0,truth,-,0,2,45,0,-0.03156,32w@8142h50
MountainCar-v0,truth,-,0,2,45,1,0.01916,32w@8142h50
MountainCar-v0,truth,-,0,2,46,0,-0.01489,32w@8142h50
MountainCar-v0,truth,-,0,2,46,1,0.01667,32w@8142h50
MountainCar-v0,truth,-,0,2,47,0,-0.00071,32w@8142h50
MountainCar-v0,truth,-,0,2,47,1,0.01418,32w@8142h50
MountainCar-v0,truth,-,0,2,48,0,0.01096,32w@8142h50
MountainCar-v0,truth,-,0,2,48,1,0.01168,32w@8142h50
MountainCar-v0,truth,-,0,2,49,0,0.02014,32w@8142h50
MountainCar-v0,truth,-,0,2,49,1,0.00918,32w@8142h50
MountainCar-v0,truth,-,0,2,50,0,0.02782,32w@8142h50
MountainCar-v0,truth,-,0,2,50,1,0.00768,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,1,0,-0.62073,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,1,1,-0.0019,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,2,0,-0.62365,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,2,1,-0.00127,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,3,0,-0.62682,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,3,1,-0.00175,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,4,0,-0.62989,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,4,1,-0.00231,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,5,0,-0.63224,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,5,1,-0.00078,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,6,0,-0.63442,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,6,1,0.00068,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,7,0,-0.63656,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,7,1,0.0012,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,8,0,-0.63857,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,8,1,0.00062,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,9,0,-0.64046,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,9,1,-1e-05,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,10,0,-0.64209,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,10,1,0.00053,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,11,0,-0.64339,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,11,1,0.00213,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,12,0,-0.64502,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,12,1,0.00149,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,13,0,-0.64614,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,13,1,0.00303,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,14,0,-0.64775,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,14,1,0.00236,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,15,0,-0.64936,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,15,1,0.00179,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,16,0,-0.65057,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,16,1,0.00233,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,17,0,-0.65151,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,17,1,0.00265,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,18,0,-0.65227,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,18,1,0.00188,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,19,0,-0.65272,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,19,1,0.00113,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,20,0,-0.65259,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,20,1,0.00236,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,21,0,-0.6523,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,21,1,0.0036,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,22,0,-0.65227,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,22,1,0.00276,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,23,0,-0.65209,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,23,1,0.00296,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,24,0,-0.65194,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,24,1,0.00405,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,25,0,-0.6519,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,25,1,0.00517,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,26,0,-0.65199,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,26,1,0.00538,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,27,0,-0.65234,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,27,1,0.00443,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,28,0,-0.65257,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,28,1,0.00559,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,29,0,-0.65262,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,29,1,0.00566,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,30,0,-0.65297,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,30,1,0.00587,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,64,0,31,0,-0.65334,32w@8142h50
